"","Condition","Agegroup","ET_first","Participant","Gender","Ageindays","Counterbalanced_order","Item_order","DV","In_for_et","Propcorrect","Vocabularycategory","Expressive_vocab_direct_raw","CDIIII_vocab","CDIIII_sentences","CDIIII_usingsentences","Item"
"235","passive","2_years","first","100","male",737,"4","1",0,1,0.17,"vocab_under_median",13,NA,NA,NA,4
"236","passive","2_years","first","100","male",737,"4","2",0,1,0.17,"vocab_under_median",13,NA,NA,NA,5
"237","passive","2_years","first","100","male",737,"4","3",0,1,0.17,"vocab_under_median",13,NA,NA,NA,6
"238","passive","2_years","first","100","male",737,"4","4",0,1,0.17,"vocab_under_median",13,NA,NA,NA,1
"239","passive","2_years","first","100","male",737,"4","5",0,1,0.17,"vocab_under_median",13,NA,NA,NA,2
"240","passive","2_years","first","100","male",737,"4","6",1,1,0.17,"vocab_under_median",13,NA,NA,NA,3
"241","passive","2_years","first","101","male",790,"2","1",1,1,0.67,"vocab_above_median",27,NA,NA,NA,5
"242","passive","2_years","first","101","male",790,"2","2",0,1,0.67,"vocab_above_median",27,NA,NA,NA,6
"243","passive","2_years","first","101","male",790,"2","3",1,1,0.67,"vocab_above_median",27,NA,NA,NA,1
"244","passive","2_years","first","101","male",790,"2","4",1,1,0.67,"vocab_above_median",27,NA,NA,NA,2
"245","passive","2_years","first","101","male",790,"2","5",1,1,0.67,"vocab_above_median",27,NA,NA,NA,3
"246","passive","2_years","first","101","male",790,"2","6",0,1,0.67,"vocab_above_median",27,NA,NA,NA,4
"247","passive","2_years","second","102","female",855,"1","1",1,0,0.67,"vocab_above_median",26,NA,NA,NA,1
"248","passive","2_years","second","102","female",855,"1","2",1,0,0.67,"vocab_above_median",26,NA,NA,NA,2
"249","passive","2_years","second","102","female",855,"1","3",1,0,0.67,"vocab_above_median",26,NA,NA,NA,3
"250","passive","2_years","second","102","female",855,"1","4",0,0,0.67,"vocab_above_median",26,NA,NA,NA,4
"251","passive","2_years","second","102","female",855,"1","5",0,0,0.67,"vocab_above_median",26,NA,NA,NA,5
"252","passive","2_years","second","102","female",855,"1","6",1,0,0.67,"vocab_above_median",26,NA,NA,NA,6
"253","passive","2_years","second","103","female",835,"1","1",0,0,0.17,"vocab_under_median",14,NA,NA,NA,1
"254","passive","2_years","second","103","female",835,"1","2",0,0,0.17,"vocab_under_median",14,NA,NA,NA,2
"255","passive","2_years","second","103","female",835,"1","3",0,0,0.17,"vocab_under_median",14,NA,NA,NA,3
"256","passive","2_years","second","103","female",835,"1","4",0,0,0.17,"vocab_under_median",14,NA,NA,NA,4
