Participant,Item,time,T,D,NP,ND,Away,SentenceType,HeadNoun
1,S8,1.92,1,0,0,0,0,-0.5,0.5
1,S8,1.96,1,0,0,0,0,-0.5,0.5
1,S8,2,1,0,0,0,0,-0.5,0.5
1,S8,2.04,1,0,0,0,0,-0.5,0.5
1,S8,2.08,1,0,0,0,0,-0.5,0.5
1,S8,2.12,1,0,0,0,0,-0.5,0.5
1,S8,2.16,1,0,0,0,0,-0.5,0.5
1,S8,2.2,1,0,0,0,0,-0.5,0.5
1,S8,2.24,1,0,0,0,0,-0.5,0.5
1,S8,2.28,1,0,0,0,0,-0.5,0.5
1,S8,2.32,1,0,0,0,0,-0.5,0.5
1,S8,2.36,1,0,0,0,0,-0.5,0.5
1,S8,2.4,1,0,0,0,0,-0.5,0.5
1,O1,0,0,0,1,0,0,0.5,-0.5
1,O1,0.04,0,0,1,0,0,0.5,-0.5
1,O1,0.08,0,0,1,0,0,0.5,-0.5
1,O1,0.12,0,0,1,0,0,0.5,-0.5
1,O1,0.16,0,0,1,0,0,0.5,-0.5
1,O1,0.2,0,0,1,0,0,0.5,-0.5
1,O1,0.24,0,0,1,0,0,0.5,-0.5
1,O1,0.28,0,0,1,0,0,0.5,-0.5
1,O1,0.32,0,0,1,0,0,0.5,-0.5
1,O1,0.36,0,0,1,0,0,0.5,-0.5
1,O1,0.4,0,0,1,0,0,0.5,-0.5
1,O1,0.44,0,0,1,0,0,0.5,-0.5
1,O1,0.48,0,0,1,0,0,0.5,-0.5
1,O1,0.52,0,0,1,0,0,0.5,-0.5
1,O1,0.56,0,0,1,0,0,0.5,-0.5
1,O1,0.6,0,0,1,0,0,0.5,-0.5
1,O1,0.64,0,0,1,0,0,0.5,-0.5
1,O1,0.68,0,0,1,0,0,0.5,-0.5
1,O1,0.72,0,0,1,0,0,0.5,-0.5
1,O1,0.76,0,0,1,0,0,0.5,-0.5
1,O1,0.8,0,0,1,0,0,0.5,-0.5
1,O1,0.84,0,0,1,0,0,0.5,-0.5
1,O1,0.88,0,0,1,0,0,0.5,-0.5
1,O1,0.92,0,0,1,0,0,0.5,-0.5
1,O1,0.96,0,0,1,0,0,0.5,-0.5
1,O1,1,0,0,0,0,1,0.5,-0.5
1,O1,1.04,1,0,0,0,0,0.5,-0.5
1,O1,1.08,1,0,0,0,0,0.5,-0.5
1,O1,1.12,1,0,0,0,0,0.5,-0.5
1,O1,1.16,1,0,0,0,0,0.5,-0.5
1,O1,1.2,1,0,0,0,0,0.5,-0.5
1,O1,1.24,1,0,0,0,0,0.5,-0.5
1,O1,1.28,1,0,0,0,0,0.5,-0.5
1,O1,1.32,1,0,0,0,0,0.5,-0.5
1,O1,1.36,1,0,0,0,0,0.5,-0.5
1,O1,1.4,1,0,0,0,0,0.5,-0.5
1,O1,1.44,1,0,0,0,0,0.5,-0.5
1,O1,1.48,1,0,0,0,0,0.5,-0.5
1,O1,1.52,1,0,0,0,0,0.5,-0.5
1,O1,1.56,1,0,0,0,0,0.5,-0.5
1,O1,1.6,1,0,0,0,0,0.5,-0.5
1,O1,1.64,1,0,0,0,0,0.5,-0.5
1,O1,1.68,1,0,0,0,0,0.5,-0.5
1,O1,1.72,1,0,0,0,0,0.5,-0.5
